entryno.,value,timestamp,timeperiod,OUDstreaktype,OUDstreakno.

1,126873,2017-06-12 10:50:47,20170601010210,0,1
2,126873,2017-06-12 10:50:48,20170601010210,2,0
3,126873,2017-06-12 10:50:49,20170601010210,2,1
4,126872,2017-06-12 10:50:51,20170601010210,1,0
5,126872,2017-06-12 10:50:52,20170601010210,2,0
6,126881,2017-06-12 10:50:53,20170601010210,0,0
7,126881,2017-06-12 10:50:55,20170601010210,2,0
8,126881,2017-06-12 10:50:56,20170601010210,2,1
9,126873,2017-06-12 10:50:57,20170601010210,1,0
10,126882,2017-06-12 10:50:59,20170601010210,0,0
11,126882,2017-06-12 10:51:00,20170601010210,2,0
12,126882,2017-06-12 10:51:01,20170601010210,2,1
13,126882,2017-06-12 10:51:02,20170601010210,2,2
14,126882,2017-06-12 10:51:04,20170601010210,2,3
15,126882,2017-06-12 10:51:05,20170601010210,2,4
16,126882,2017-06-12 10:51:06,20170601010210,2,5
17,126882,2017-06-12 10:51:07,20170601010210,2,6
18,126882,2017-06-12 10:51:09,20170601010210,2,7
19,126882,2017-06-12 10:51:10,20170601010210,2,8
20,126877,2017-06-12 10:51:11,20170601010210,1,0
21,126882,2017-06-12 10:51:13,20170601010210,0,0
22,126882,2017-06-12 10:51:14,20170601010210,2,0
23,126875,2017-06-12 10:51:15,20170601010210,1,0
24,126875,2017-06-12 10:51:17,20170601010210,2,0
25,126875,2017-06-12 10:51:18,20170601010210,2,1
26,126875,2017-06-12 10:51:19,20170601010210,2,2
27,126875,2017-06-12 10:51:21,20170601010210,2,3
28,126875,2017-06-12 10:51:22,20170601010210,2,4
29,126875,2017-06-12 10:51:23,20170601010210,2,5
30,126875,2017-06-12 10:51:24,20170601010210,2,6
31,126875,2017-06-12 10:51:26,20170601010210,2,7
32,126875,2017-06-12 10:51:27,20170601010210,2,8
33,126875,2017-06-12 10:51:28,20170601010210,2,9
34,126875,2017-06-12 10:51:29,20170601010210,2,10
35,126884,2017-06-12 10:51:31,20170601010210,0,0
36,126875,2017-06-12 10:51:32,20170601010210,1,0
37,126884,2017-06-12 10:51:33,20170601010210,0,0
38,126884,2017-06-12 10:51:35,20170601010210,2,0
39,126884,2017-06-12 10:51:36,20170601010210,2,1
40,126893,2017-06-12 10:51:38,20170601010210,0,0
41,126893,2017-06-12 10:51:39,20170601010210,2,0
42,126885,2017-06-12 10:51:40,20170601010210,1,0
43,126885,2017-06-12 10:51:41,20170601010210,2,0
44,126885,2017-06-12 10:51:43,20170601010210,2,1
45,126893,2017-06-12 10:51:44,20170601010210,0,0
46,126885,2017-06-12 10:51:45,20170601010210,1,0
47,126892,2017-06-12 10:51:47,20170601010210,0,0
48,126892,2017-06-12 10:51:48,20170601010210,2,0
49,126892,2017-06-12 10:51:49,20170601010210,2,1
50,126892,2017-06-12 10:51:51,20170601010210,2,2
51,126892,2017-06-12 10:51:52,20170601010210,2,3
52,126892,2017-06-12 10:51:54,20170601010210,2,4
53,126893,2017-06-12 10:51:55,20170601010210,0,0
54,126893,2017-06-12 10:51:56,20170601010210,2,0
55,126893,2017-06-12 10:51:57,20170601010210,2,1
56,126893,2017-06-12 10:51:59,20170601010210,2,2
57,126893,2017-06-12 10:52:00,20170601010210,2,3
58,126893,2017-06-12 10:52:01,20170601010210,2,4
59,126893,2017-06-12 10:52:03,20170601010210,2,5
60,126893,2017-06-12 10:52:04,20170601010210,2,6
61,126893,2017-06-12 10:52:05,20170601010210,2,7
62,126893,2017-06-12 10:52:07,20170601010210,2,8
63,126893,2017-06-12 10:52:08,20170601010210,2,9
64,126893,2017-06-12 10:52:09,20170601010210,2,10
65,126893,2017-06-12 10:52:11,20170601010210,2,11
66,126892,2017-06-12 10:52:12,20170601010210,1,0
67,126892,2017-06-12 10:52:13,20170601010210,2,0
68,126892,2017-06-12 10:52:14,20170601010210,2,1
69,126892,2017-06-12 10:52:16,20170601010210,2,2
70,126892,2017-06-12 10:52:17,20170601010210,2,3
71,126893,2017-06-12 10:52:18,20170601010210,0,0
72,126893,2017-06-12 10:52:20,20170601010210,2,0
73,126893,2017-06-12 10:52:21,20170601010210,2,1
74,126893,2017-06-12 10:52:22,20170601010210,2,2
75,126893,2017-06-12 10:52:23,20170601010210,2,3
76,126893,2017-06-12 10:52:25,20170601010210,2,4
77,126893,2017-06-12 10:52:26,20170601010210,2,5
78,126892,2017-06-12 10:52:27,20170601010210,1,0
79,126891,2017-06-12 10:52:29,20170601010210,1,1
80,126892,2017-06-12 10:52:30,20170601010210,0,0
